	date	measured	day_count	week	time_elapsed	credit_kwh	credit_ghs	credit_ghs_fixed	ac_use	ghs_used	ghs_used_phr	part
0	2023-02-16	1	1	1	23.39	576.91	1036.55	7674.96	1	17.36	0.742	1
1	2023-02-17	1	2	1	30.64	565.16	1019.19	7657.60	1	23.19	0.757	1
2	2023-02-18	1	3	1	19.11	549.35	996.00	7634.41	1	26.07	1.364	1
3	2023-02-19	1	4	1	21.67	530.60	969.93	7608.34	1	18.83	0.869	1
4	2023-02-20	1	5	1	24.50	518.19	951.10	7589.51	1	40.56	1.656	1
5	2023-02-21	1	6	1	24.17	490.18	910.54	7548.95	1	27.52	1.139	1
6	2023-02-22	1	7	1	23.61	470.65	883.02	7521.43	1	36.21	1.534	1
7	2023-02-23	1	8	2	25.72	446.08	846.81	7485.22	1	37.66	1.464	1
8	2023-02-24	1	9	2	25.09	420.20	809.15	7447.56	1	27.52	1.097	1
9	2023-02-25	1	10	2	22.55	401.36	781.63	7420.04	1	30.41	1.349	1
10	2023-02-26	1	11	2	23.64	380.34	751.22	7389.63	1	18.83	0.797	1
11	2023-02-27	1	12	2	23.56	366.54	732.39	7370.80	1	23.18	0.984	1
12	2023-02-28	1	13	2	24.27	351.21	709.21	7347.62	1	22.36	0.921	1
13	2023-03-01	1	14	2	23.97	491.70	686.85	7325.26	1	31.31	1.306	1
14	2023-03-02	1	15	3	22.70	469.22	655.54	7293.95	1	14.97	0.659	1
15	2023-03-03	1	16	3	24.23	457.74	640.57	7278.98	1	17.69	0.730	1
16	2023-03-04	1	17	3	24.44	444.51	622.88	7261.29	1	13.61	0.557	1
17	2023-03-05	1	18	3	24.95	434.68	609.27	7247.68	1	19.06	0.764	1
18	2023-03-06	1	19	3	23.98	420.79	590.21	7228.62	1	17.69	0.738	1
19	2023-03-07	1	20	3	23.22	408.15	572.52	7210.93	0	4.09	0.176	2
20	2023-03-08	1	21	3	23.81	404.83	568.43	7206.84	0	5.44	0.228	2
21	2023-03-09	1	22	4	24.09	401.21	562.99	7201.40	0	4.09	0.170	2
22	2023-03-10	1	23	4	23.66	397.66	558.90	7197.31	0	5.44	0.230	2
23	2023-03-11	1	24	4	24.95	394.08	553.46	7191.87	0	4.08	0.164	2
24	2023-03-12	1	25	4	24.27	390.64	549.38	7187.79	0	5.45	0.225	2
25	2023-03-13	1	26	4	24.59	387.15	543.93	7182.34	0	4.08	0.166	2
26	2023-03-14	1	27	4	25.14	383.73	539.85	7178.26	0	4.08	0.162	2
27	2023-03-15	1	28	4	24.00	380.41	535.77	7174.18	0	5.45	0.227	2
28	2023-03-16	0	29	5	23.06	376.77	530.33	7168.73	0	5.44	0.236	2
29	2023-03-17	1	30	5	23.69	373.13	524.88	7163.29	0	4.09	0.173	2
30	2023-03-18	1	31	5	23.83	369.45	520.79	7159.20	1	13.61	0.571	2
31	2023-03-19	1	32	5	24.20	360.04	507.18	7145.59	0	4.08	0.169	2
32	2023-03-20	1	33	5	24.22	356.57	503.10	7141.51	0	4.08	0.168	2
33	2023-03-21	1	34	5	26.70	353.29	499.02	7137.43	0	8.15	0.305	2
34	2023-03-22	1	35	5	24.00	347.31	490.87	7129.28	0	5.45	0.227	2
35	2023-03-23	0	36	6	24.89	343.57	485.41	7123.82	0	5.45	0.219	2
36	2023-03-24	1	37	6	24.00	339.84	479.96	7118.37	0	7.48	0.312	2
37	2023-03-25	0	38	6	21.22	334.51	472.48	7110.89	0	7.49	0.353	2
38	2023-03-26	1	39	6	24.00	329.19	464.99	7103.40	0	6.12	0.255	2
39	2023-03-27	0	40	6	24.00	324.57	458.87	7097.27	0	6.12	0.255	2
40	2023-03-28	0	41	6	24.00	319.95	452.74	7091.15	0	6.12	0.255	2
41	2023-03-29	0	42	6	24.42	315.33	446.62	7085.02	0	6.12	0.251	2
42	2023-03-30	1	43	7	21.77	310.71	440.49	7078.90	0	7.13	0.328	2
43	2023-03-31	1	44	7	25.83	305.86	433.36	7071.77	0	8.66	0.335	2
44	2023-04-01	1	45	7	24.34	310.57	424.70	7063.11	0	5.44	0.223	2
45	2023-04-02	1	46	7	20.52	306.50	419.26	7057.67	0	5.45	0.266	2
46	2023-04-03	1	47	7	32.59	302.42	413.81	7052.22	1	14.97	0.459	2
47	2023-04-04	1	48	7	18.69	292.13	398.84	7037.25	0	2.72	0.146	2
48	2023-04-05	1	49	7	24.00	287.76	396.12	7034.53	0	4.54	0.189	2
49	2023-04-06	0	50	8	24.00	284.80	391.58	7029.99	0	4.54	0.189	2
50	2023-04-07	0	51	8	24.00	281.84	387.05	7025.46	0	4.54	0.189	2
51	2023-04-08	0	52	8	24.00	278.88	382.51	7020.92	0	4.54	0.189	2
52	2023-04-09	0	53	8	24.00	275.93	377.97	7016.38	0	4.54	0.189	2
53	2023-04-10	0	54	8	22.83	272.97	373.44	7011.85	0	4.54	0.199	2
54	2023-04-11	1	55	8	24.28	270.01	368.90	7007.31	0	5.45	0.224	2
55	2023-04-12	1	56	8	24.52	265.53	363.45	7001.86	0	6.80	0.277	2
56	2023-04-13	1	57	9	25.27	261.09	356.65	6995.06	0	8.17	0.323	2
57	2023-04-14	1	58	9	21.69	254.99	348.48	6986.89	0	5.44	0.251	2
58	2023-04-15	1	59	9	24.00	250.99	343.04	6981.45	0	6.81	0.284	2
59	2023-04-16	0	60	9	24.00	245.85	336.24	6974.64	0	6.80	0.284	2
