	date	date_subseq	credit_ghs_fixed_1st	credit_ghs_fixed_subseq	ghs_used
0	2023-02-01	2023-03-01	7967.95	7325.26	642.6899999999996
1	2023-03-01	2023-04-01 00:00:00	7325.26	7063.11	262.15000000000055
2	2023-04-01	2023-05-01 00:00:00	7063.11	6863.58	199.52999999999975
3	2023-05-01	2023-06-01 00:00:00	6863.58	6665.409999999999	198.17000000000098
4	2023-06-01	2023-07-01 00:00:00	6665.409999999999	6297.029999999999	368.3800000000001
5	2023-07-01	2023-08-01 00:00:00	6297.029999999999	5595.5599999999995	701.4699999999993
6	2023-08-01	2023-09-01 00:00:00	5595.5599999999995	4979.9	615.6599999999999
7	2023-09-01	2023-10-01 00:00:00	4979.9	4370.89	609.0099999999993
8	2023-10-01	2023-11-01 00:00:00	4370.89	3561.3100000000004	809.5799999999999
9	2023-11-01	2023-12-01 00:00:00	3561.3100000000004	2671.36	889.9500000000003
10	2023-12-01	2024-01-01 00:00:00	2671.36	1849.7800000000002	821.5799999999999
11	2024-01-01	2024-02-01 00:00:00	1849.7800000000002	1163.94	685.8400000000001
12	2024-02-01	2024-03-01 00:00:00	1163.94	354.36	809.58
13	2024-03-01	2024-03-12	354.36	82.1	272.26
