	measured	date	day_count	week	credit_ghs_fixed	ghs_used
0	1	2023-02-16	1	1	7674.96	189.7400000000007
1	1	2023-02-23	8	2	7485.219999999999	191.26999999999953
2	1	2023-03-02	15	3	7293.95	92.55000000000018
3	1	2023-03-09	22	4	7201.4	32.664999999999964
4	0	2023-03-16	29	5	7168.735	44.909999999999854
5	0	2023-03-23	36	6	7123.825	44.92500000000018
6	1	2023-03-30	43	7	7078.9	48.90666666666675
7	0	2023-04-06	50	8	7029.993333333333	34.933333333333394
8	1	2023-04-13	57	9	6995.0599999999995	48.99749999999949
9	0	2023-04-20	64	10	6946.0625	57.17250000000058
10	1	2023-04-27	71	11	6888.889999999999	48.44999999999982
11	1	2023-05-04	78	12	6840.44	47.63999999999942
12	1	2023-05-11	85	13	6792.8	54.45000000000073
13	0	2023-05-18	92	14	6738.349999999999	21.770000000000437
14	0	2023-05-25	99	15	6716.579999999999	51.17000000000007
15	1	2023-06-01	106	16	6665.409999999999	43.902500000000146
16	0	2023-06-08	113	17	6621.507499999999	62.26749999999993
17	1	2023-06-15	120	18	6559.239999999999	55.8100000000004
18	1	2023-06-22	127	19	6503.4299999999985	162.33999999999924
19	1	2023-06-29	134	20	6341.089999999999	184.21000000000004
20	1	2023-07-06	141	21	6156.879999999999	172.3800000000001
21	1	2023-07-13	148	22	5984.499999999999	143.3799999999992
22	1	2023-07-20	155	23	5841.12	145.98000000000047
23	1	2023-07-27	162	24	5695.139999999999	139.85999999999967
24	1	2023-08-03	169	25	5555.28	104.71000000000004
25	1	2023-08-10	176	26	5450.57	122.4399999999996
26	1	2023-08-17	183	27	5328.13	104.71000000000004
27	1	2023-08-24	190	28	5223.42	205.76000000000022
28	1	2023-08-31	197	29	5017.66	142.48000000000047
29	1	2023-09-07	204	30	4875.179999999999	130.48999999999978
30	1	2023-09-14	211	31	4744.69	148.21000000000004
31	1	2023-09-21	218	32	4596.48	146.57999999999993
32	1	2023-09-28	225	33	4449.9	185.33999999999924
33	1	2023-10-05	232	34	4264.56	183.64999999999964
34	1	2023-10-12	239	35	4080.9100000000008	136.9300000000003
35	1	2023-10-19	246	36	3943.9800000000005	219.55999999999995
36	1	2023-10-26	253	37	3724.4200000000005	195.33000000000038
37	1	2023-11-02	260	38	3529.09	230.3699999999999
38	1	2023-11-09	267	39	3298.7200000000003	217.49000000000024
39	1	2023-11-16	274	40	3081.23	217.70999999999958
40	1	2023-11-23	281	41	2863.5200000000004	157.72000000000025
41	1	2023-11-30	288	42	2705.8	218.09000000000015
42	1	2023-12-07	295	43	2487.71	201.77000000000044
43	1	2023-12-14	302	44	2285.9399999999996	197.6199999999999
44	1	2023-12-21	309	45	2088.3199999999997	147.42999999999984
45	1	2023-12-28	316	46	1940.8899999999999	153.93999999999983
46	1	2024-01-04	323	47	1786.95	144.99
47	1	2024-01-11	330	48	1641.96	147.88599999999997
48	0	2024-01-18	337	49	1494.074	138.34400000000005
49	0	2024-01-25	344	50	1355.73	191.78999999999996
50	1	2024-02-01	351	51	1163.94	228.76
51	1	2024-02-08	358	52	935.1800000000001	164.87333333333345
52	0	2024-02-15	365	53	770.3066666666666	201.75238095238092
53	0	2024-02-22	372	54	568.5542857142857	181.4742857142857
54	1	2024-02-29	379	55	387.08	163.20999999999998
55	1	2024-03-07	386	56	223.87	
