	date	measured	day_count	week	time_elapsed	credit_gb	credit_ghs	credit_ghs_fixed	ghs_used	ghs_used_phr
0	2023-03-31	1	1	1	25.50	205.30	205.30	3486.15	11.33	0.444
1	2023-04-01	1	2	1	22.00	193.97	193.97	3474.82	4.51	0.205
2	2023-04-02	1	3	1	22.94	189.46	189.46	3470.31	13.26	0.578
3	2023-04-03	1	4	1	32.66	176.20	176.20	3457.05	11.77	0.360
4	2023-04-04	1	5	1	17.91	164.43	164.43	3445.28	4.30	0.240
5	2023-04-05	1	6	1	24.00	160.13	160.13	3440.98	7.87	0.328
6	2023-04-06	0	7	1	24.00	152.26	152.26	3433.11	7.87	0.328
7	2023-04-07	0	8	2	24.00	144.39	144.39	3425.24	7.87	0.328
8	2023-04-08	0	9	2	24.00	136.51	136.51	3417.36	7.87	0.328
9	2023-04-09	0	10	2	24.00	128.64	128.64	3409.49	7.87	0.328
10	2023-04-10	0	11	2	23.72	120.77	120.77	3401.62	7.87	0.332
11	2023-04-11	1	12	2	24.05	112.90	112.90	3393.75	10.32	0.429
12	2023-04-12	1	13	2	24.78	102.58	102.58	3383.43	11.99	0.484
13	2023-04-13	1	14	2	24.00	90.59	90.59	3371.44	9.06	0.377
14	2023-04-14	0	15	3	24.00	81.53	81.53	3362.38	9.06	0.377
15	2023-04-15	0	16	3	24.00	72.47	72.47	3353.32	9.06	0.377
16	2023-04-16	0	17	3	24.00	63.41	63.41	3344.26	9.06	0.377
17	2023-04-17	0	18	3	24.00	54.35	54.35	3335.20	9.06	0.377
18	2023-04-18	0	19	3	24.00	45.30	45.30	3326.15	9.06	0.377
19	2023-04-19	0	20	3	24.00	36.24	36.24	3317.09	9.06	0.377
20	2023-04-20	0	21	3	24.00	27.18	27.18	3308.03	9.06	0.377
21	2023-04-21	0	22	4	24.00	18.12	18.12	3298.97	9.06	0.377
22	2023-04-22	1	23	4	25.84	9.06	9.06	3289.91	9.06	0.351
23	2023-04-23	1	24	4	20.39	375.69	375.69	3280.85	7.67	0.376
24	2023-04-24	1	25	4	24.00	368.02	368.02	3273.18	6.68	0.278
25	2023-04-25	0	26	4	24.00	361.34	361.34	3266.50	6.68	0.278
26	2023-04-26	0	27	4	24.00	354.65	354.65	3259.81	6.68	0.278
27	2023-04-27	0	28	4	24.00	347.97	347.97	3253.13	6.68	0.278
28	2023-04-28	0	29	5	24.00	341.29	341.29	3246.45	6.68	0.278
29	2023-04-29	0	30	5	24.00	334.61	334.61	3239.76	6.68	0.278
30	2023-04-30	0	31	5	24.00	327.92	327.92	3233.08	6.68	0.278
31	2023-05-01	0	32	5	24.00	321.24	321.24	3226.40	6.68	0.278
32	2023-05-02	0	33	5	24.00	314.56	314.56	3219.72	6.68	0.278
33	2023-05-03	0	34	5	26.69	307.87	307.87	3213.03	6.68	0.250
34	2023-05-04	1	35	5	24.00	301.19	301.19	3206.35	7.67	0.320
35	2023-05-05	0	36	6	24.00	293.52	293.52	3198.68	7.67	0.320
36	2023-05-06	0	37	6	24.00	285.85	285.85	3191.01	7.67	0.320
37	2023-05-07	0	38	6	24.16	278.18	278.18	3183.34	7.67	0.318
38	2023-05-08	1	39	6	20.75	270.51	270.51	3175.67	6.03	0.291
39	2023-05-09	1	40	6	24.00	264.48	264.48	3169.64	7.41	0.309
40	2023-05-10	0	41	6	24.55	257.06	257.06	3162.22	7.41	0.302
41	2023-05-11	1	42	6	24.00	249.65	249.65	3154.81	11.09	0.462
42	2023-05-12	0	43	7	24.00	238.56	238.56	3143.72	11.09	0.462
43	2023-05-13	0	44	7	24.00	227.47	227.47	3132.63	11.09	0.462
44	2023-05-14	0	45	7	24.00	216.38	216.38	3121.54	11.09	0.462
45	2023-05-15	0	46	7	24.00	205.29	205.29	3110.45	11.09	0.462
46	2023-05-16	0	47	7	24.00	194.20	194.20	3099.36	11.09	0.462
47	2023-05-17	0	48	7	24.00	183.11	183.11	3088.27	11.09	0.462
48	2023-05-18	0	49	7	22.80	172.02	172.02	3077.18	11.09	0.486
49	2023-05-19	1	50	8	29.81	160.93	160.93	3066.09	6.50	0.218
50	2023-05-20	1	51	8	24.00	154.43	154.43	3059.59	5.22	0.217
51	2023-05-21	0	52	8	24.00	149.21	149.21	3054.37	5.22	0.217
52	2023-05-22	0	53	8	20.39	144.00	144.00	3049.16	5.22	0.256
53	2023-05-23	1	54	8	24.00	138.78	138.78	3043.94	0.00	0.000
54	2023-05-24	0	55	8	24.00	138.78	138.78	3043.94	0.00	0.000
55	2023-05-25	0	56	8	30.55	138.78	138.78	3043.94	0.00	0.000
56	2023-05-26	1	57	9	15.59	138.78	138.78	3043.94	14.01	0.899
57	2023-05-27	1	58	9	25.69	124.77	124.77	3029.93	11.82	0.460
58	2023-05-28	1	59	9	25.19	112.95	112.95	3018.11	5.93	0.235
59	2023-05-29	1	60	9	22.44	107.02	107.02	3012.18	4.43	0.197
60	2023-05-30	1	61	9	22.84	102.59	102.59	3007.75	10.34	0.453
61	2023-05-31	1	62	9	27.22	92.25	92.25	2997.41	5.35	0.197
62	2023-06-01	1	63	9	24.00	86.90	86.90	2992.06	6.99	0.291
63	2023-06-02	0	64	10	24.00	79.91	79.91	2985.07	7.00	0.291
64	2023-06-03	0	65	10	24.00	72.91	72.91	2978.07	6.99	0.291
65	2023-06-04	0	66	10	25.91	65.92	65.92	2971.07	6.99	0.270
66	2023-06-05	1	67	10	24.00	58.92	58.92	2964.08	9.91	0.413
67	2023-06-06	0	68	10	24.00	49.01	49.01	2954.17	9.91	0.413
68	2023-06-07	0	69	10	29.98	39.11	39.11	2944.27	9.91	0.330
69	2023-06-08	1	70	10	14.37	29.20	29.20	2934.36	4.03	0.281
70	2023-06-09	1	71	11	28.50	400.86	400.86	2930.33	10.68	0.375
71	2023-06-10	1	72	11	19.91	390.18	390.18	2919.65	7.69	0.386
72	2023-06-11	1	73	11	21.30	382.49	382.49	2911.96	7.12	0.334
73	2023-06-12	1	74	11	23.98	375.37	375.37	2904.84	3.59	0.150
74	2023-06-13	1	75	11	26.48	371.78	371.78	2901.25	5.59	0.211
75	2023-06-14	1	76	11	31.06	366.19	366.19	2895.66	11.51	0.371
76	2023-06-15	1	77	11	15.50	354.68	354.68	2884.15	4.75	0.306
77	2023-06-16	1	78	12	31.72	349.93	349.93	2879.40	5.13	0.162
78	2023-06-17	1	79	12	15.85	344.80	344.80	2874.27	5.82	0.367
79	2023-06-18	1	80	12	28.58	338.98	338.98	2868.45	9.82	0.344
80	2023-06-19	1	81	12	24.00	329.16	329.16	2858.63	3.37	0.140
81	2023-06-20	0	82	12	24.00	325.79	325.79	2855.26	3.37	0.140
82	2023-06-21	0	83	12	24.00	322.43	322.43	2851.90	3.37	0.140
83	2023-06-22	0	84	12	24.00	319.06	319.06	2848.53	3.37	0.140
84	2023-06-23	0	85	13	22.00	315.70	315.70	2845.17	3.37	0.153
85	2023-06-24	1	86	13	21.58	312.33	312.33	2841.80	6.08	0.282
86	2023-06-25	1	87	13	27.95	306.25	306.25	2835.72	4.75	0.170
87	2023-06-26	1	88	13	21.81	301.50	301.50	2830.97	4.50	0.206
88	2023-06-27	1	89	13	26.75	297.00	297.00	2826.47	2.86	0.107
89	2023-06-28	1	90	13	22.42	294.14	294.14	2823.61	9.07	0.405
90	2023-06-29	1	91	13	23.80	285.07	285.07	2814.54	16.61	0.698
91	2023-06-30	1	92	14	22.05	268.46	268.46	2797.93	2.97	0.135
92	2023-07-01	1	93	14	24.11	265.49	265.49	2794.96	11.64	0.483
93	2023-07-02	1	94	14	24.05	253.85	253.85	2783.32	14.23	0.592
94	2023-07-03	1	95	14	22.33	239.62	239.62	2769.09	8.31	0.372
95	2023-07-04	1	96	14	26.28	231.31	231.31	2760.78	6.13	0.233
96	2023-07-05	1	97	14	24.17	225.18	225.18	2754.65	11.69	0.484
97	2023-07-06	1	98	14	22.22	213.49	213.49	2742.96	4.32	0.194
98	2023-07-07	1	99	15	26.33	209.17	209.17	2738.64	12.83	0.487
99	2023-07-08	1	100	15	21.70	196.34	196.34	2725.81	36.57	1.685
100	2023-07-09	1	101	15	23.67	159.77	159.77	2689.24	49.38	2.086
101	2023-07-10	1	102	15	24.66	110.39	110.39	2639.86	5.18	0.210
102	2023-07-11	1	103	15	23.98	105.21	105.21	2634.68	4.10	0.171
103	2023-07-12	1	104	15	23.03	101.11	101.11	2630.58	7.87	0.342
104	2023-07-13	1	105	15	25.20	93.24	93.24	2622.71	7.39	0.293
105	2023-07-14	1	106	16	23.92	85.85	85.85	2615.32	8.69	0.363
106	2023-07-15	1	107	16	23.69	77.16	77.16	2606.63	6.08	0.257
107	2023-07-16	1	108	16	23.80	71.08	71.08	2600.55	11.45	0.481
108	2023-07-17	1	109	16	24.23	59.63	59.63	2589.10	3.49	0.144
109	2023-07-18	1	110	16	24.86	56.14	56.14	2585.61	9.51	0.383
110	2023-07-19	1	111	16	28.66	46.63	46.63	2576.10	13.79	0.481
111	2023-07-20	1	112	16	18.80	32.84	32.84	2562.31	12.36	0.658
112	2023-07-21	1	113	17	24.61	20.48	20.48	2549.95	13.49	0.548
113	2023-07-22	1	114	17	24.39	382.68	382.68	2536.46	8.76	0.359
114	2023-07-23	1	115	17	21.92	373.92	373.92	2527.70	22.23	1.014
